-------------------1	-------------------
sendo-lhe	sendo-lhe
senjo	senjo
septenato	septenato
serem	serem
serl	serl
serpre	serpre
sert	sert
servisse	servisse
sfffpcil	sfffpcil
sido	sido
sígredo	sigredo
siitema	siitema
sinccro	sinccro
sinceras	sinceras
sinceros	sinceros
»s$ionano	sionano
siquer	siquer
sJugvu	sjugvu
slão	slao
slderlid*	slderlid
slstenütíra-	slstenutira-
^snita	snita
so-menu-	so-menu-
sobic	sobic
socinlogo	socinlogo
»sõcs	socs
sóffrç	soffrc
sôffrenJo	soffrenjo
sofrtr	sofrtr
soiTta	soitta
solibtudu	solibtudu
soluç	soluc
somos	somos
soorcludo	soorcludo
srounda	srounda
•stomacaes	stomacaes
sua’cogitação	suacogitacao
suavisasse-Ihe	suavisasse-ihe
subscrevo-	subscrevo-
subversivo	subversivo
*su«cidou-se	sucidou-se
sufrario	sufrario
suicidar-se	suicidar-se
sujo	sujo
suppoodo	suppoodo
suppra	suppra
svihUndá	svihunda
tabclecido	tabclecido
tadml	tadml
tadoal	tadoal
tam-i	tam-i
tamogag	tamogag
tario	tario
tçndo	tcndo
tcrra	tcrra
tcsiemunhu	tcsiemunhu
tdra	tdra
teem	teem
teenteo	teenteo
teis	teis
tel-o	tel-o
telegr	telegr
tem-io	tem-io
tempe	tempe
ten-tavi	ten-tavi
tenha	tenha
tenho	tenho
teohaes	teohaes
teps-ratUnio	teps-ratunio
terá	tera
terào	terao
terço	terco
tereis	tereis
terem	terem
teriam	teriam
termoa	termoa
terrô	terro
testemu-nta	testemu-nta
teve	teve
tevô	tevo
tfto	tfto
ticular	ticular
tima	tima
tinham	tinham
tintos	tintos
titeratura	titeratura
tive	tive
tivera	tivera
tivesse	tivesse
tizar	tizar
tLtiiu	tltiiu
tlvuda	tlvuda
tm-bèbe	tm-bebe
tmaginaçáo	tmaginacao
«tnitura	tnitura
tnréttoà	tnrettoa
toch	toch
<tod-dirmos	tod-dirmos
tol-i	tol-i
»tolk	tolk
tomacaei	tomacaei
tomo-se	tomo-se
tornnu-so	tornnu-so
total-m*nte	total-mnte
to*Tr	totr
tounfn	tounfn
traas-loroar-se	traas-loroar-se
tragão	tragao
tramfertdo	tramfertdo
tramiferido	tramiferido
transfrrU	transfrru
transpor-1	transpor-
transportando-vòs	transportando-vos
transportar-se	transportar-se
trarnadn	trarnadn
trax*r	traxr
trazem	trazem
trimes-treVTís	trimes-trevtis
trisfe	trisfe
triumphos	triumphos
trlguom	trlguom
trorueu»-te	trorueu-te
trús	trus
t«rzr	trzr
tscr\wr\o	tscrwro
*t<tema	ttema
ttvMoi	ttvmoi
tuprerno	tuprerno
tUpúbllra	tupubllra
u-soóie	u-sooie
<u-zzaodc	u-zzaodc
uftirmoú	uftirmou
uhtmn	uhtmn
uídMe	uidme
uiiíis	uiiiis
uioa	uioa
ul-tenor	ul-tenor
1»ulnifnmCo	ulnifnmco
u<lonal	ulonal
ultimamtnto	ultimamtnto
ultl-	ultl-
ultrages	ultrages
(un-ckmarfos	un-ckmarfos
unti-ca-tharracR	unti-ca-tharracr
unvt	unvt
uo^u-	uou-
urau	urau
urosv	urosv
urrrr	urrrr
uttl	uttl
uuica	uuica
uzar	uzar
uzndos	uzndos
va^ar	vaar
valcria	valcria
vale—não	valenao
valería	valeria
vcntrl	vcntrl
vcoda	vcoda
vè-sc	ve-sc
véem	veem
venha	venha
venho	venho
vera	vera
verdad	verdad
verdadeira	verdadeira
veremos	veremos
vezex	vezex
vi^ào	viao
vidindo-se	vidindo-se
vImh	vimh
vimos	vimos
vinte	vinte
viria	viria
voadas	voadas
volorizor	volorizor
vôluntapjrtll	voluntapjrtll
voot	voot
vrSo	vrso
vulgarisada	vulgarisada
vultoso*	vultoso
watureze	watureze
wfôra	wfora
wlro	wlro
wnsav*‘s	wnsavs
wuégué-	wuegue-
«x-cuidtraU	x-cuidtrau
£x-Interno	x-interno
xMsessorlas	xmsessorlas
xvslm	xvslm
yeJmcnte	yejmcnte
yoílufll	yoilufll
zeloso	zeloso
zendo	zendo
